US_AQI,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,Temp_2m_C,Humidity_Percent
54.0,19.1,27.6,16.4,26.6,95
55.0,16.2,23.6,15.6,27.9,89
55.0,12.0,17.7,14.5,29.3,82
55.0,10.1,14.9,12.8,30.4,78
54.0,10.9,16.1,10.9,31.2,73
55.0,13.0,19.0,8.9,31.9,70
55.0,15.3,22.3,7.2,32.4,69
55.0,15.0,21.9,6.9,32.8,69
56.0,15.4,22.4,7.3,33.3,67
56.0,14.7,21.4,11.1,33.4,66
56.0,13.3,19.3,18.5,32.9,68
56.0,12.0,17.5,28.5,30.3,78
56.0,13.8,20.0,40.5,29.5,84
56.0,13.4,19.3,40.2,28.2,88
55.0,12.7,18.4,40.0,28.0,87
55.0,12.6,18.4,38.3,27.9,85
55.0,11.8,17.3,35.5,27.7,88
55.0,12.1,17.6,31.6,27.5,91
55.0,12.2,17.8,26.5,27.0,93
54.0,12.7,18.5,22.6,26.6,93
54.0,13.3,19.3,18.8,26.0,96
54.0,13.7,19.7,15.1,25.9,96
54.0,13.8,19.8,14.3,25.8,96
53.0,14.0,20.1,14.7,25.7,97
53.0,9.8,14.1,11.7,25.7,96
52.0,9.4,13.5,15.1,26.4,93
52.0,8.8,12.7,19.9,27.4,91
51.0,7.5,10.7,24.0,27.9,87
51.0,9.5,13.6,23.0,28.2,86
51.0,11.5,16.5,20.1,29.1,81
51.0,13.0,18.7,16.6,30.2,76
51.0,13.9,19.8,14.4,31.6,73
51.0,12.8,18.4,12.4,32.3,70
50.0,11.9,17.1,13.5,32.3,69
50.0,11.3,16.3,20.1,31.8,69
50.0,11.1,16.0,29.9,30.8,72
50.0,15.7,22.6,38.9,29.3,82
50.0,19.3,27.7,40.0,28.3,89
51.0,14.3,20.5,41.3,28.1,88
51.0,12.0,17.2,40.6,27.6,89
51.0,11.5,16.6,36.1,27.7,89
51.0,10.4,15.0,29.5,27.3,91
50.0,9.8,14.1,21.8,26.6,95
50.0,10.5,15.0,18.6,26.6,95
50.0,10.9,15.6,16.6,26.3,95
50.0,11.4,16.4,14.6,26.1,97
49.0,11.9,17.1,13.4,26.2,97
49.0,11.2,16.1,12.6,26.2,97
49.0,8.9,12.7,11.9,26.3,97
48.0,7.4,10.7,13.1,27.9,92
48.0,7.0,10.1,14.6,29.4,81
48.0,6.4,9.3,15.3,30.7,72
47.0,6.7,9.9,13.4,31.7,67
47.0,8.6,12.5,10.1,32.5,65
47.0,10.6,15.4,6.8,33.0,65
46.0,12.3,17.9,4.9,33.5,64
46.0,12.9,18.7,3.6,33.5,64
46.0,14.1,20.5,6.9,33.7,63
46.0,14.6,21.3,17.2,33.6,62
47.0,13.5,19.6,31.7,32.9,66
47.0,15.3,22.3,52.0,31.2,70
47.0,17.8,26.0,51.9,29.8,75
47.0,19.0,27.6,51.7,29.1,79
48.0,15.2,22.2,48.8,28.8,81
48.0,12.3,17.9,43.0,28.4,83
48.0,12.6,18.4,35.2,27.8,85
49.0,13.2,19.1,25.7,27.2,88
49.0,13.5,19.5,20.8,26.6,94
50.0,13.1,18.9,16.9,26.5,95
50.0,12.8,18.4,13.1,26.3,96
50.0,12.8,18.4,11.4,25.9,97
50.0,11.9,17.1,10.8,25.7,96
50.0,11.9,17.2,13.6,26.1,96
51.0,9.1,13.3,13.7,26.7,94
51.0,8.6,12.6,13.7,28.0,87
51.0,7.5,10.9,12.9,29.3,82
51.0,7.3,10.7,10.9,30.3,77
51.0,8.2,12.0,8.1,31.8,71
51.0,8.4,12.3,5.3,32.7,68
51.0,8.3,12.1,3.8,33.2,64
51.0,7.5,11.0,2.7,33.0,66
50.0,7.2,10.6,4.8,32.4,67
49.0,7.2,10.6,11.9,30.9,76
48.0,7.7,11.2,22.1,30.4,77
47.0,7.5,10.8,31.1,30.2,73
45.0,8.1,11.8,31.6,27.9,84
44.0,9.1,13.2,32.2,27.0,91
42.0,9.3,13.6,31.0,26.9,91
41.0,9.3,13.4,27.6,26.8,90
40.0,8.8,12.7,22.7,26.5,91
40.0,7.6,10.9,16.5,26.3,91
39.0,6.9,10.0,12.6,26.1,93
